ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
CIN09	20160505	0	Thu	MIL	NL	28	CIN	NL	29	5	9	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	0.99	1.175	0.97	0.949	0.645	1.019
MIA02	20160505	0	Thu	ARI	NL	30	MIA	NL	27	0	4	51	MIA	"Marlins Park(Miami, Florida)"	0.834	0.793	0.868	0.963	0.667	0.967
SAN02	20160505	0	Thu	NYN	NL	27	SDN	NL	29	3	5	51	SDN	"Petco Park(San Diego, California)"	1.014	0.957	1.042	1.062	0.75	0.977
SFO03	20160505	0	Thu	COL	NL	28	SFN	NL	30	17	7	54	COL	"AT&T Park(San Francisco, California)"	1.012	0.704	1.084	1.101	1.526	1.076
STL10	20160505	0	Thu	PHI	NL	29	SLN	NL	29	0	4	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.921	0.901	0.972	0.914	0.543	0.914
ANA01	20160506	0	Fri	TBA	AL	27	ANA	AL	29	5	2	54	TBA	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
CHI12	20160506	0	Fri	MIN	AL	29	CHA	AL	30	4	10	51	CHA	"Guaranteed Rate Field(Chicago, Illinois)"	0.927	1.101	0.96	0.89	1.071	0.933
CLE08	20160506	0	Fri	KCA	AL	28	CLE	AL	26	1	7	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
DET05	20160506	0	Fri	TEX	AL	30	DET	AL	28	5	1	54	TEX	"Comerica Park(Detroit, Michigan)"	1.019	1.138	0.984	0.884	1.904	0.945
HOU03	20160506	0	Fri	SEA	AL	29	HOU	AL	30	3	6	51	HOU	"Minute Maid Park(Houston, Texas)"	0.808	0.822	0.926	0.886	1.152	0.918
NYC21	20160506	0	Fri	BOS	AL	29	NYA	AL	27	2	3	51	NYA	"Yankee Stadium(New York, New York)"	1.035	1.377	0.982	0.871	0.5	1.033
TOR02	20160506	0	Fri	LAN	NL	29	TOR	AL	31	2	5	51	TOR	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
ATL02	20160506	0	Fri	ARI	NL	31	ATL	NL	28	7	2	54	ARI	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160506	0	Fri	WAS	NL	29	CHN	NL	28	6	8	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
CIN09	20160506	0	Fri	MIL	NL	29	CIN	NL	30	1	5	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	0.99	1.175	0.97	0.949	0.645	1.019
MIA02	20160506	0	Fri	PHI	NL	30	MIA	NL	28	4	6	51	MIA	"Marlins Park(Miami, Florida)"	0.834	0.793	0.868	0.963	0.667	0.967
SAN02	20160506	0	Fri	NYN	NL	28	SDN	NL	30	0	2	51	SDN	"Petco Park(San Diego, California)"	1.014	0.957	1.042	1.062	0.75	0.977
SFO03	20160506	0	Fri	COL	NL	29	SFN	NL	31	4	6	51	SFN	"AT&T Park(San Francisco, California)"	1.012	0.704	1.084	1.101	1.526	1.076
STL10	20160506	0	Fri	PIT	NL	29	SLN	NL	30	4	2	54	PIT	"Busch Stadium(St. Louis, Missouri)"	0.921	0.901	0.972	0.914	0.543	0.914
ANA01	20160507	0	Sat	TBA	AL	28	ANA	AL	30	4	2	54	TBA	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
BAL12	20160507	1	Sat	OAK	AL	30	BAL	AL	28	8	4	54	OAK	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
BAL12	20160507	2	Sat	OAK	AL	31	BAL	AL	29	2	5	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
CHI12	20160507	0	Sat	MIN	AL	30	CHA	AL	31	2	7	51	CHA	"Guaranteed Rate Field(Chicago, Illinois)"	0.927	1.101	0.96	0.89	1.071	0.933
CLE08	20160507	0	Sat	KCA	AL	29	CLE	AL	27	7	0	54	KCA	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
DET05	20160507	0	Sat	TEX	AL	31	DET	AL	29	10	5	54	TEX	"Comerica Park(Detroit, Michigan)"	1.019	1.138	0.984	0.884	1.904	0.945
HOU03	20160507	0	Sat	SEA	AL	30	HOU	AL	31	3	2	60	SEA	"Minute Maid Park(Houston, Texas)"	0.808	0.822	0.926	0.886	1.152	0.918
NYC21	20160507	0	Sat	BOS	AL	30	NYA	AL	28	2	8	51	NYA	"Yankee Stadium(New York, New York)"	1.035	1.377	0.982	0.871	0.5	1.033
TOR02	20160507	0	Sat	LAN	NL	30	TOR	AL	32	6	2	54	LAN	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
ATL02	20160507	0	Sat	ARI	NL	32	ATL	NL	29	4	2	54	ARI	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160507	0	Sat	WAS	NL	30	CHN	NL	29	5	8	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
CIN09	20160507	0	Sat	MIL	NL	30	CIN	NL	31	13	7	60	MIL	"Great American Ball Park(Cincinnati, Ohio)"	0.99	1.175	0.97	0.949	0.645	1.019
MIA02	20160507	0	Sat	PHI	NL	31	MIA	NL	29	4	3	54	PHI	"Marlins Park(Miami, Florida)"	0.834	0.793	0.868	0.963	0.667	0.967
SAN02	20160507	0	Sat	NYN	NL	29	SDN	NL	31	6	3	54	NYN	"Petco Park(San Diego, California)"	1.014	0.957	1.042	1.062	0.75	0.977
SFO03	20160507	0	Sat	COL	NL	30	SFN	NL	32	1	2	77	SFN	"AT&T Park(San Francisco, California)"	1.012	0.704	1.084	1.101	1.526	1.076
STL10	20160507	0	Sat	PIT	NL	30	SLN	NL	31	4	6	52	SLN	"Busch Stadium(St. Louis, Missouri)"	0.921	0.901	0.972	0.914	0.543	0.914
ANA01	20160508	0	Sun	TBA	AL	29	ANA	AL	31	3	1	54	TBA	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
BAL12	20160508	0	Sun	OAK	AL	32	BAL	AL	30	3	11	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
