ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK NAME	RUNS	HR	H	2B	3B	BB
MIN04	20150725	0	Sat	NYA	AL	96	MIN	AL	97	8	5	54	NYA	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
SEA03	20150725	0	Sat	TOR	AL	99	SEA	AL	98	8	6	54	TOR	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150725	0	Sat	BAL	AL	96	TBA	AL	99	5	1	54	BAL	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150725	0	Sat	MIL	NL	98	ARI	NL	96	0	2	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
CHI11	20150725	0	Sat	PHI	NL	99	CHN	NL	96	5	0	54	PHI	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
DEN02	20150725	0	Sat	CIN	NL	95	COL	NL	95	5	2	54	CIN	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
NYC20	20150725	0	Sat	LAN	NL	99	NYN	NL	98	2	15	51	NYN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150725	0	Sat	WAS	NL	96	PIT	NL	97	9	3	54	WAS	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
SAN02	20150725	0	Sat	MIA	NL	98	SDN	NL	98	1	3	51	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150725	0	Sat	OAK	AL	99	SFN	NL	97	1	2	51	SFN	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150725	0	Sat	ATL	NL	97	SLN	NL	97	0	1	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150726	0	Sun	TEX	AL	97	ANA	AL	98	7	13	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BOS07	20150726	0	Sun	DET	AL	98	BOS	AL	99	1	11	51	BOS	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CLE08	20150726	0	Sun	CHA	AL	96	CLE	AL	97	2	1	54	CHA	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
KAN06	20150726	0	Sun	HOU	AL	100	KCA	AL	97	1	5	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
MIN04	20150726	0	Sun	NYA	AL	97	MIN	AL	98	7	2	54	NYA	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
SEA03	20150726	0	Sun	TOR	AL	100	SEA	AL	99	5	6	58	SEA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150726	0	Sun	BAL	AL	97	TBA	AL	100	5	2	54	BAL	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150726	0	Sun	MIL	NL	99	ARI	NL	97	0	3	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
CHI11	20150726	0	Sun	PHI	NL	100	CHN	NL	97	11	5	54	PHI	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
DEN02	20150726	0	Sun	CIN	NL	96	COL	NL	96	7	17	51	COL	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
NYC20	20150726	0	Sun	LAN	NL	100	NYN	NL	99	2	3	58	NYN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150726	0	Sun	WAS	NL	97	PIT	NL	98	1	3	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
SAN02	20150726	0	Sun	MIA	NL	99	SDN	NL	99	2	3	51	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150726	0	Sun	OAK	AL	100	SFN	NL	98	3	4	51	SFN	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150726	0	Sun	ATL	NL	98	SLN	NL	98	3	2	54	ATL	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
BAL12	20150727	0	Mon	ATL	NL	99	BAL	AL	98	1	2	63	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
BOS07	20150727	0	Mon	CHA	AL	97	BOS	AL	100	10	8	54	CHA	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CLE08	20150727	0	Mon	KCA	AL	98	CLE	AL	98	9	4	54	KCA	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
SEA03	20150727	0	Mon	ARI	NL	98	SEA	AL	100	4	3	60	ARI	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150727	0	Mon	DET	AL	99	TBA	AL	101	2	5	51	TBA	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
ARL02	20150727	0	Mon	NYA	AL	98	TEX	AL	98	6	2	54	NYA	"Globe Life Park in Arlington(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
