index,Date,Visiting_Team,Visiting_League,Visiting_Team_Game,Home_Team,Home_League,Home_Team_Game,Visiting_Score,Home_Score,Length_in_Outs,Park_Code,Visit_Bats,Visit_Hits,Visit_Doubles,Visit_Triples,Visit_Homeruns,Visit_RBI,Visit_Putouts,Visit_Assist,Visit_Errors,Visit_Passed_Balls,Visit_Double_Plays,Visit_Tripple_Plays,Home_bats,Home_Hits,Home_Doubles,Home_Triples,Home_Homeruns,Home_RBI,Home_Putouts,Home_Assist,Home_Errors,Home_Passed_Balls,Home_Double_Plays,Home_Triple_Plays,bln_home_win,diff_hr,diff_hits,diff_doubles,diff_triples,diff_rbi,diff_putouts,diff_errors,diff_assist,diff_at_bats
77,20170408,OAK,AL,6,TEX,AL,5,6.0,1.0,54,ARL02,36,9,4,0,1,5,27,12,1,0,1,0,29,2,0,0,1,1,27,5,2,0,0,0,0,-5,-7,-4,0,-4,0,1,-7,-7
78,20170409,CLE,AL,6,ARI,NL,7,2.0,3.0,51,PHO01,34,7,1,0,0,1,24,4,1,0,0,0,32,8,1,0,1,2,27,14,3,0,1,0,1,1,1,0,0,1,3,2,10,-2
79,20170409,LAN,NL,7,COL,NL,7,10.0,6.0,54,DEN02,40,15,3,1,1,9,27,6,1,0,0,0,35,9,0,1,1,6,27,9,2,1,2,0,0,-4,-6,-3,0,-3,0,1,3,-5
80,20170409,CHN,NL,6,MIL,NL,7,7.0,4.0,54,MIL06,37,11,1,1,2,7,27,8,0,0,0,0,31,4,2,0,2,4,27,9,2,0,2,0,0,-3,-7,1,-1,-3,0,2,1,-6
81,20170409,MIA,NL,6,NYN,NL,6,2.0,5.0,51,NYC20,30,5,2,0,0,2,24,7,1,0,0,0,33,8,0,0,2,4,27,12,1,0,0,0,1,3,3,-2,0,2,3,0,5,3
82,20170409,WAS,NL,6,PHI,NL,6,3.0,4.0,53,PHI13,33,6,2,0,1,3,26,10,0,0,0,0,32,7,2,0,0,4,27,6,0,0,0,0,1,1,1,0,0,1,1,0,-4,-1
83,20170409,ATL,NL,6,PIT,NL,5,5.0,6.0,57,PIT08,41,13,2,0,3,5,27,12,2,1,2,0,33,11,2,0,1,5,30,13,0,0,0,0,1,1,-2,0,0,0,3,-2,1,-8
84,20170409,SFN,NL,7,SDN,NL,7,5.0,3.0,54,SAN02,35,8,1,0,2,4,27,6,0,0,1,0,33,7,0,0,2,3,27,8,1,1,0,0,0,-2,-1,-1,0,-1,0,1,2,-2
85,20170409,CIN,NL,6,SLN,NL,6,8.0,0.0,54,STL10,36,11,3,1,2,6,27,11,0,0,2,0,31,6,2,0,0,0,27,11,3,0,2,0,0,-8,-5,-1,-1,-6,0,3,0,-5
86,20170409,SEA,AL,7,ANA,AL,7,9.0,10.0,53,ANA01,33,7,2,0,2,8,26,14,0,0,2,0,34,11,2,0,2,10,27,9,2,0,0,0,1,1,4,0,0,2,1,2,-5,1
87,20170409,NYA,AL,6,BAL,AL,5,7.0,3.0,54,BAL12,34,9,0,1,1,6,27,7,0,1,1,0,32,6,0,0,0,3,27,7,2,0,0,0,0,-4,-3,0,-1,-3,0,2,0,-2
88,20170409,MIN,AL,6,CHA,AL,5,4.0,1.0,54,CHI12,34,8,2,0,2,4,27,8,0,0,0,0,32,5,0,0,0,1,27,8,0,1,1,0,0,-3,-3,-2,0,-3,0,0,0,-2
89,20170409,BOS,AL,5,DET,AL,5,7.0,5.0,54,DET05,34,11,3,0,0,6,27,6,1,0,0,0,39,13,2,0,1,5,27,18,1,0,2,0,0,-2,2,-1,0,-1,0,0,12,5
90,20170409,KCA,AL,6,HOU,AL,7,4.0,5.0,71,HOU03,43,9,0,0,3,4,35,17,0,0,3,0,41,12,0,0,3,5,36,10,0,0,0,0,1,1,3,0,0,1,1,0,-7,-2
91,20170409,TOR,AL,6,TBA,AL,7,2.0,7.0,51,STP01,29,3,2,0,1,2,24,11,1,0,2,0,32,9,0,1,3,7,27,12,0,0,1,0,1,5,6,-2,1,5,3,-1,1,3
92,20170409,OAK,AL,7,TEX,AL,6,1.0,8.0,51,ARL02,34,8,1,0,0,0,24,8,3,0,0,0,33,7,0,0,2,8,27,8,0,0,1,0,1,7,-1,-1,0,8,3,-3,0,-1
93,20170410,LAN,NL,8,CHN,NL,7,2.0,3.0,53,CHI11,32,6,1,0,0,1,26,6,2,0,0,0,32,6,2,0,0,3,27,7,3,0,2,0,1,1,0,1,0,2,1,1,1,0
94,20170410,SDN,NL,8,COL,NL,8,5.0,3.0,54,DEN02,32,9,1,1,2,5,27,9,0,0,3,0,32,8,1,0,2,3,27,11,0,0,3,0,0,-2,-1,0,-1,-2,0,0,2,0
95,20170410,NYN,NL,7,PHI,NL,7,4.0,3.0,54,PHI13,29,4,1,0,2,4,27,14,0,0,2,0,34,10,0,0,1,3,27,5,2,1,1,0,0,-1,6,-1,0,-1,0,2,-9,5
96,20170410,CIN,NL,7,PIT,NL,6,7.0,1.0,54,PIT08,35,8,0,0,2,7,27,9,0,0,0,0,31,4,0,0,0,1,27,9,2,0,0,0,0,-6,-4,0,0,-6,0,2,0,-4
97,20170410,ARI,NL,8,SFN,NL,8,1.0,4.0,51,SFO03,31,4,2,0,1,1,24,8,2,0,0,0,29,6,3,0,0,2,27,9,0,0,0,0,1,3,2,1,0,1,3,-2,1,-2
98,20170410,SLN,NL,7,WAS,NL,7,6.0,14.0,51,WAS11,39,10,1,0,1,6,24,5,1,0,1,0,40,19,4,0,0,14,27,9,4,0,2,0,1,8,9,3,0,8,3,3,4,1
99,20170410,BOS,AL,6,DET,AL,6,1.0,2.0,51,DET05,31,4,2,0,0,0,24,4,1,0,0,0,29,5,2,0,1,2,27,4,1,0,1,0,1,1,1,0,0,2,3,0,0,-2
